Name,EMI,Price,Mileage,ENGINE,TRANSMISSION,FUEL TYPE,Price range,Length (mm),Wheelbase (mm),Boot Space (L),Width (mm),Turning Radius (m),Fuel Capacity (L),Height (mm),Ground Clearance (mm),Colors,Seating Capacity,Displacement (cc),Peak Power,Peak Torque,Color Varients,Top_Speed
Porsche Macan,"1,18,950",69.98 Lakh,14 kmpl ,1984 to 2995 cc ,Automatic ,Petrol ,₹ 69.98 - 85.01 Lakh ,4696,2807,954,1923,11.96,75,1624,198," Agate Grey, Black, Carmine Red, Carrara White, Crayon, Dolomite Silver, Jet Black, Mahogany, Mamba Green, Miami Blue, Night Blue, Sapphire Blue, Volcano Grey, White ",5,1984, 251 BHP@5000 RPM,370 NM @1600 RPM,24,254 Km/h
Porsche 718,"1,45,262",85.46 Lakh,9 kmpl ,1988 to 3995 cc ,"Automatic, Manual ",Petrol ,₹ 85.46 Lakh - 1.64 Crore ,4379,2475,127,1801,5.5,54,1281,128," Agate Grey, Black, Carmine Red, Carrara White, Crayon, GT Silver, Guards Red, Jet Black, Lava Orange, Miami Blue, Night Blue, Racing Yellow, White ",2,1988, 295 BHP@6500 RPM,380 NM @1950 RPM,23,275km/h
Porsche Cayenne,"2,02,272",1.2 Crore,9 - 40 kmpl ,2995 to 3996 cc ,Automatic ,Petrol ,₹ 1.2 - 1.93 Crore ,4918,2895,645,1983,5.3,75,1696,210," Biscay Blue, Black, Carrara White, Jet Black , Lava Orange, Mahogany , Moonlight Blue , Quartzite Grey , Rhodium Silver , White ",5,2995, 456 BHP@5250 RPM,700 NM ,22,286 Km/h
Porsche Cayenne Coupe,"2,24,165",1.32 Crore,10.75 kmpl,2995 to 3996 cc ,Automatic ,Petrol ,₹ 1.32 - 1.98 Crore ,4931,2895,625,2194,5.1,75,1676,190," Biskay Blue , Carrara White, Crayon, Dolomite Silver, Jet Black, Lava Orange, Mahogany, Moonlight Blue, Quarzite Grey, White ",4,2995, 335 BHP@5300 RPM,450 NM @1340 RPM,18,286 Km/h
Porsche Panamera,"2,45,599",1.44 Crore,8-37 kmpl,2894 to 4806 cc ,Automatic ,Petrol ,₹ 1.44 - 2.43 Crore ,5049,2950,500,1937, - ,75,1423,133," Amethyst, Aventurine Green, Burgundy Red, Carmine Red, Carrara White, Cherry, Crayon, Dolomite Silver, GT Silver, Gentian Blue, Jet Black, Mahogany, Mamba Green, Papaya, Truffle Brown, Volcano Grey, White ",4,2894, 326 BHP@5400 RPM,450 NM @1750 RPM,28,310 Km/h
Porsche 911,"2,38,346",1.64 Crore,9 - 12 kmpl ,2981 to 3745 cc ,"Automatic, Manual ",Petrol ,₹ 1.64 - 3.08 Crore ,4519,2450,132,1852, - ,64,1300,109," Agate Grey, Aventurine Green, Black, Carmine Red, Carrara White, Crayon, Dolomite Silver, GT Silver, Gentian Blue, Guards Red, Jet Black, Lava Orange, Miami Blue, Night Blue, Python Green, Racing Yellow, White ",4,2981, 380 BHP@6500 RPM,450 NM @1950 RPM,31,330 Km/h
Audi Q2,"59,475",34.99 Lakh,15 kmpl,1984 cc ,Automatic ,Petrol ,₹ 34.99 - 48.89 Lakh ,4318,2593,355,1805, - ,55,1548,200," Arabian Blue Crystal, Daytona Gray Pearl Effect, Floret Silver, Ibis White, Mythos Black, Nano Gray, Quantum Gray, Tango Red ",5,1984, 187 BHP@4200 RPM,320 NM @1500 RPM,19,228 Km/h
Audi A4,"71,968",42.34 Lakh,12.3 kmpl,1984 cc ,Automatic ,Petrol ,₹ 42.34 - 46.67 Lakh ,4762,2819,460,1847,5.8,54,1433,160," Floret Silver, Ibis White, Mythos Black, Navarra Blue, Terra Grey ",5,1984, 188 BHP@4200 RPM,320 NM @1450 RPM,10,241 Km/h
Audi A6,"85,006",55.86 Lakh,14 kmpl ,1984 cc ,Automatic ,Petrol ,₹ 55.86 - 60.51 Lakh ,4939,2924,530,1886, - ,73,1457,165," Firmament Blue, Ibis White, Mysthos Black, Seville Red, Vesuvius Grey ",5,1984, 241 BHP@5000 RPM,370 NM @1600 RPM,10,250 Km/h
Audi S5 Sportback,"1,34,384",79.06 Lakh,11 kmpl ,2995 cc ,Automatic ,Petrol ,₹ 79.06 Lakh ,4765,2825,465,1845,5.75,58,1390,114.3," Daytona Grey Pearl, District Green, Ibis White, Mythos Black, Navara Blue, Quantum Grey, Tango Red, Turbo Blue ",5,2995, 349 BHP@5400 RPM,500 NM @1370 RPM,17,250 Km/h
Audi Q8,"1,68,243",98.98 Lakh,16 kmpl ,2995 cc ,Automatic ,Petrol ,₹ 98.98 Lakh - 1.35 Crore ,4986,2995,605,1995,6.1,85,1705,200," Argus Brown, Barrique Brown, Carrara White, Cobra Beige, Daytona Gray Pearlescent, Deep Black, Dragon Orange, Floret Silver, Galaxy Blue, Glacier White, Matador Red, Navarra Blue, Orca Black, Samurai Gray, Vicuna Beige ",7,2995, 335 BHP@5000 RPM,500 NM @1370 RPM,31,250 Km/h
Audi A8 L,"2,68,257",1.58 Crore,12 kmpl ,2995 cc ,Automatic ,Petrol ,₹ 1.58 Crore ,5302,3128,505,1945,6.35, - ,1485,124," Ara Blue Crystal Effect, Diamond Beige Pearl Effect, Glacier White, Goodwood Green Pearl Effect, Ipanema Brown, Misano Red Pearl Effect, Moonlight Blue, Navarra Blue, Quantum Grey, Seville Red, Suzuka Grey, Terra Gray , Terra Grey, Vesuvius Gray ",4,2995, 335 BHP@5000 RPM,500 NM @1370 RPM,37,250 km/h
Audi RS7 Sportback,"3,30,401",1.94 Crore,9 kmpl ,3996 cc ,Automatic ,Petrol ,₹ 1.94 Crore ,5009,2934,535,1950,5.9,73,1451,109," Daytona Gray, Floret Silver, Glacier White, Mythos Black, Nardo Gray, Navarra Blue, Sebring Black, Sebring Black Crystal Effect, Tango Red ",4,3996, 591 BHP@6000 RPM,800 NM @2050 RPM,20,250 km/h
Audi RS Q8,"3,51,937",2.07 Crore,8 kmpl ,3996 cc ,Automatic ,Petrol ,₹ 2.07 Crore ,5012,2998,605,1998,6.15,85,1751,254," Daytona Grey, Deep Black, Dragon Orange, Floret Silver, Galaxy Blue, Glacier White, Matador Red, Navarra Blue, Orca Black ",5,3996, 591 BHP@6000 RPM,800 NM @2050 RPM,18,305 Km/h
Mercedes Benz A-Class Limousine,"67,821",39.9 Lakh,13 - 21 kmpl ,1332 to 1950 cc ,Automatic ,"Petrol, Diesel ",₹ 39.9 - 56.24 Lakh ,4549,2729,405,1796, - , - ,1446, - ," Cosmos Black, Denim Blue, Mojave Silver, Mountain Grey, Polar White ",5,1332, 161 BHP@5500 RPM,250 NM @1620 RPM,10,250 km/h
Mercedes Benz C Class,"70,219",49.41 Lakh,14 - 16 kmpl ,1950 to 1991 cc ,Automatic ,"Petrol, Diesel ",₹ 49.41 - 65.55 Lakh ,4686,2840,480,1810,5.61,66,1442,157," Brilliant Blue, Cavansite Blue, Designo Hyancith Red, Designo Selenite Grey Magno, Mojave Silver, Obsidian Black, Polar White, Selenite Grey ",5,1991, 201 BHP@5800 RPM,280 NM @1600 RPM,19,240 km/h
Mercedes Benz GLC Class,"86,450",57.36 Lakh,14 kmpl ,1950 to 1991 cc ,Automatic ,"Petrol, Diesel ",₹ 57.36 - 63.13 Lakh ,4658,2873,580,1890,5.1,66,1644,201," Brilliant Blue, Cavansite Blue, Graphite Grey, Hi-Tech Silver, Hyacinth Red, Obsidian Black, Polar White ",5,1991, 194 BHP@5500 RPM,320 NM @1650 RPM,14, 240 Km/h
Mercedes Benz E Class,"1,08,105",63.6 Lakh,15 - 16.1 kmpl,1950 to 2925 cc ,Automatic ,"Petrol, Diesel ",₹ 63.6 - 80.9 Lakh ,5075,3079,540,1860,5.3,80,1495,156," Designo Hyacinth Red, High Tech Silver, Mojave Silver, Obsidian Black, Polar White, Selenite Grey ",5,1991, 194 BHP@5500 RPM,320 NM @1650 RPM,14,231 km/h
Mercedes Benz GLC Coupe,"1,13,301",66.66 Lakh,7 kmpl ,1950 to 1991 cc ,Automatic ,"Petrol, Diesel ",₹ 66.66 - 67.72 Lakh ,4658,2873,500,1890,5.85,66,1644,150," Brilliant Blue, Graphite Grey, Hyacinth Red, Mojave Silver, Obsidian Black, Polar White ",4,1991, 256 BHP@5800 RPM,370 NM @1800 RPM,12,220 km/h
Mercedes Benz V-Class,"1,20,854",71.1 Lakh,16 kmpl,1950 cc ,Automatic ,Diesel ,₹ 71.1 Lakh - 1.46 Crore ,5140,3430,610,1928, - ,93,1901,160," Brilliant Silver, Cavansite Blue, Graphite Grey, Obsidian Black, Rock Crystal White, Selenite Grey, Steel Blue ",7,1950, 163 BHP@3800 RPM,380 NM @1200 RPM,15,195 km/h
Mercedes Benz GLE,"1,31,306",77.25 Lakh,17 kmpl ,1950 to 2999 cc ,Automatic ,"Diesel, Petrol ",₹ 77.25 - 94.22 Lakh ,4924,2995,825,2141,5.9,93,1772,200," Cavansite Blue, Designo Hyacinth Red, Mojave Silver, Obsidian Black, Polar White, Selenite Grey ",5,1950, 241 BHP@4200 RPM,500 NM @1600 RPM,13,225 km/h
Mercedes Benz E-Class All-Terrain,"1,31,307",77.25 Lakh,12 kmpl ,1950 cc ,Automatic ,Petrol ,₹ 77.25 Lakh ,4933,2065,640,1852,5.3, - ,1475,156," Designo Hyacinth Red, Iridium Silver, Obsidian Black, Polar White, Selenite Grey ",5,1950, 192 BHP@3800 RPM,400 NM @1600 RPM,11,231 km/h
Mercedes Benz C Coupe,"1,36,274",79.93 Lakh,7 kmpl ,2996 to 3982 cc ,Automatic ,Petrol ,₹ 79.93 Lakh - 1.39 Crore ,4693, - , - ,1810, - ,66,1402,157," Brilliant Blue, Designo Diamond White Bright, Designo Hyancith Red, Graphite Grey, Iridium Silver, Mojave Silver, Obsidian Black, Polar White, Selenite Grey, Selenite Grey Magno ",4,2996, 385 BHP@6100 RPM,520 NM @2000 RPM,24,250 km/h
Mercedes Benz AMG GLC 43 Coupe,"1,38,599",81.22 Lakh,9 kmpl ,2996 cc ,Automatic ,Petrol ,₹ 81.22 Lakh ,4731,2873, - ,1890,5.9,66,1620,201," Brilliant Blue, Designo Hyacinth Red, Designo Salenite Grey Magno	, Graphite Grey, Obsidian Black, Polar White ",5,2996, 385 BHP@5500 RPM,520 NM @2500 RPM,16,261 km/h
Mercedes Benz CLS,"1,46,850",86.39 Lakh,12 kmpl ,1950 cc ,Automatic ,Diesel ,₹ 86.39 Lakh  ,4988, - , - ,1890, - ,66,1435, - ," Cavansite Blue, Designo Diamond White, Designo Hyacinth Red, Designo Selenite Grey Magno, Graphite Grey, Iridium Silver, Obsidian Black, Polar White, Ruby Black ", - ,1950, 245 BHP@4200 RPM,500 NM @1600 RPM,1,250 km/h
Mercedes Benz EQC,"1,76,889",1.04 Crore,6 kmpl ,,Automatic ,Electric ,₹ 1.04 Crore  ,4762,2873,500,1884,5.9, - ,1624,142," Graphite Grey, High-Tech Silver, Polar White ",5, - , -,- ,1,180 km/h
Mercedes Benz GLS,"1,77,975",1.05 Crore,8-9 kmpl ,2925 to 2999 cc ,Automatic ,"Diesel, Petrol ",₹ 1.05 Crore ,5207, - , - ,2157, - , - ,1823,210," Cavansite Blue, Hyacinth Red, Mojave Silver, Obsidian Black, Polar White, Selenite Grey ",7,2925, 326 BHP@3600 RPM,700 NM @1200 RPM,12,222 km/h
Mercedes Benz AMG GLE Coupe,"2,16,822",1.27 Crore,11 kmpl ,2999 cc ,Automatic ,Petrol ,₹ 1.27 Crore ,4961,2935,655,2014,6,85,1716, - ," Brilliant Blue, Cavansite Blue, Emerald Green, Hyacinth Red, Mojave Silver, Obsidian Black, Polar White, Selenite Grey ",5,2999, 429 BHP@6100 RPM,520 NM @1800 RPM,16,225 km/h
Mercedes Benz S Class,"2,01,784",1.42 Crore,16 kmpl,2925 to 5980 cc ,Automatic ,"Diesel, Petrol ",₹ 1.42 - 2.79 Crore ,5246,3165,530,1899,6.15,70,1494,140," Anthracite Blue, Canvasite Blue, Designo Allanite Grey Magno, Designo Cashmere White Magno, Designo Diamond White Bright, Designo Mocha Black, Diamond Silver, Diamond White Bright, Emerald Green, Iridium Silver, Magnetic Black, Obsidian Black, Ruby Black, Selenite Grey ",5,2925, 282 BHP@3600 RPM,600 NM @1600 RPM,36,250 km/h
Mercedes Benz G Class,"2,76,110",1.62 Crore,7 - 12 kmpl ,2925 to 3998 cc ,Automatic ,"Diesel, Petrol ",₹ 1.62 - 2.42 Crore ,4606,2890,480,1931, - ,96,1969,241," China Blue Solid, Citrine Brown Magno, Classic Grey Solid, Dark Blue, Dark Olive Magno, Deep Green Solid, Desert Sand, Diamond White Bright, Graphite, Hyacinth Red, Jupiter Red, Mystic Blue Bright, Mystic Brown Bright, Night Black Magno, Olive, Platinum Black, Platinum Magno, Sea Blue ",5,2925, 285 BHP@1200 RPM,600 NM @2500 RPM,43,210 km/h
Mercedes Benz AMG GT 4-Door Coupe,"4,11,853",2.42 Crore,12 kmpl ,3998 cc ,Automatic ,Petrol ,₹ 2.42 Crore ,5054,2069,285,1664,5.75,75,1953, - ," Brilliant Blue, Designo Brilliant Blue Magno, Designo Diamond White Bright, Designo Graphite Grey Magno, Designo Selenite Grey Magno, Graphite Grey, Iridium Silver, Jupiter Red, Obsidian Black, Polar White ",5,3998, 630 BHP@6250 RPM,900 NM @2500 RPM,28,285 km/h
Mercedes Benz AMG GT,"3,66,868",2.48 Crore,12 kmpl ,3982 cc ,Automatic ,Petrol ,₹ 2.48 Crore ,4551,2630, - ,2075,5.75,65,1284, - ," AMG Solarbeam, Amg Green Hell Magno, Brilliant Blue, Designo Brilliant Blue Magno, Designo Diamond White Bright, Designo Hyacinth Red, Designo Iridium Silver Magno, Designo Selenite Grey Magno, Iridium Silver, Jupiter Red, Magnetite Black, Selenite Grey ",2,3982, 577 BHP@6250 RPM,700 NM @1900 RPM,35,312 km/h
BMW X1,"59,832",37.2 Lakh,20 kmpl ,1995 to 1998 cc ,Automatic ,"Petrol, Diesel ",₹ 37.2 - 42.9 Lakh ,4447,2670,505,1821,5.8,51,1598,165," Alpine White, Black, Black Sapphire, Mediterranean Blue, Mineral White, Misano Blue, Sparkling Brown, Storm Bay, Sunset Orange ",5,1998, 192 BHP@5000 RPM,280 NM @1350 RPM,17,222 Km/h
BMW 2 Series Gran Coupe,"64,422",37.9 Lakh,14 - 19 kmpl ,1995 to 1998 cc ,Automatic ,"Petrol, Diesel ",₹ 37.9 - 42.3 Lakh ,4526,2670,430,1800,5.7,50,1420,152," Apine White, Black Sapphire, Melbourne Red, Misano Blue, Seaside Blue, Snapper Rocks Blue ",5,1995, 188 BHP@4000 RPM,400 NM @1750 RPM,13,233 km/h
BMW 3 Series,"72,410",42.6 Lakh,16 - 20 kmpl ,1995 to 2998 cc ,Automatic ,"Petrol, Diesel ",₹ 42.6 - 62.9 Lakh ,4624,2851,480,1828,6,59,1435,165," Alpine White, Black Sapphire, Dravit Grey, Mediterranean Blue, Mineral Grey, Portimao Blue, Sunset Orange, Tanzanite Blue ",5,1995, 104 BHP@4000 RPM,400 NM @1750 RPM,16,250 Km/h
BMW 3 Series Gran Limousine,"87,538",51.5 Lakh,15 - 19 kmpl ,1995 to 1998 cc ,Automatic ,"Petrol, Diesel ",₹ 51.5 - 53.9 Lakh ,4819,2961,480,1827, - , - ,1441, - ," Carbon Black, Cashmere Silver, Melbourne Red, Mineral White ",5,1995, 188 BHP@4000 RPM,400 NM @1750 RPM,8,250 Km/h
BMW 5 Series,"88,388",56 Lakh,15 - 20 kmpl ,1995 to 2993 cc ,Automatic ,"Petrol, Diesel ",₹ 56 - 69.1 Lakh ,4936,2975,530,1868, - ,66,1479,144," Alpine White, Black Sapphire, Bluestone, Carbon Black, Imperial Blue, Mediterranean Blue, Mineral White ",5,1995, 188 BHP@4000 RPM,400 NM @1750 RPM,13,250 Km/h
BMW X3,"84,972",56.5 Lakh,13 - 16 kmpl ,1995 to 1998 cc ,Automatic ,"Petrol, Diesel ",₹ 56.5 - 62.5 Lakh ,4657,2810, - ,1881, - ,60,1678, - ," Black Sapphire, Mineral White, Phytonic Blue, Sophisto Grey ",5,1995, 190 BHP@4000 RPM,400 NM @1750 RPM,8,213 Km/h
BMW X4,"1,06,066",62.4 Lakh,13 - 16 kmpl ,1995 to 2993 cc ,Automatic ,"Diesel, Petrol ",₹ 62.4 - 68.9 Lakh ,4752,2864,1400,1918, - ,60,1621, - ," Alpine White, Carbon Black, Flamenco Red Brilliant Effect, Phytonic Blue ",5,1995, 188 BHP@4000 RPM,400 NM @1750 RPM,10,235 Km/h
BMW Z4,"1,13,885",67 Lakh,13 kmpl ,1998 to 2998 cc ,Automatic ,Petrol ,₹ 67 - 81.9 Lakh ,4324,2470,281,1864, - ,52,1304, - ," Alpine White, Black Sapphire, Glacier Silver, Mediterranean Blue, Mineral White, Misano Blue, San Francisco Red ",2,2998, 335 BHP@5000 RPM,500 NM @1600 RPM,15,250 Km/h
BMW 6 Series GT,"1,15,414",67.9 Lakh,18 - 21 kmpl ,1995 to 2993 cc ,Automatic ,"Petrol, Diesel ",₹ 67.9 - 77.9 Lakh ,5091,3070,610,1902,6.15,66,1538,138," BMW Individual Tanzanite Blue Metallic	, Bernina Grey Amber Effect, Black Sapphire, Carbon Black, Mineral White, Phytonic Blue, Piemont Red ",5,1995, 188 BHP@4000 RPM,400 NM @1750 RPM,20,250 km/h
BMW X5,"1,24,593",75.5 Lakh,13 kmpl ,2993 to 2998 cc ,Automatic ,"Diesel, Petrol ",₹ 75.5 - 87.4 Lakh ,4922,2975,650,2004, - ,80,1745, - ," Arctic Grey, Black Sapphire, Carbon Black, Mineral White, Phytonic Blue, Tanzanite Blue ",5,2993, 262 BHP@4000 RPM,620 NM @1500 RPM,12,300 km/h
BMW M2,"1,44,480",85 Lakh,11 kmpl ,2979 cc ,Automatic ,Petrol ,₹ 85 Lakh ,4461,2693,390,1854, - ,52,1410, - ," Alpine White, Black Sapphire, Hockenheim Silver, Long Beach Blue, Sunset Orange ",4,2979, 404 BHP@6250 RPM,550 NM @2350 RPM,11,250 Km/h
BMW X7,"1,58,079",93 Lakh,13 kmpl ,2993 to 2998 cc ,Automatic ,"Diesel, Petrol ",₹ 93 Lakh - 1.66 Crore ,5151,3105,326,2000, - ,80,1805, - ," Alpine White, Arctic Grey Brilliant Effect, Black, Black Sapphire, Manhattan, Mineral White, Phytonic Blue, Sophisto Grey Brilliant Effect, Terra Brown, Vermont Bronze ",7,2993, 394 BHP@4400 RPM,760 NM @2000 RPM,22,227 km/h
BMW X6,"1,64,708",96.9 Lakh,10 kmpl ,2998 cc ,Automatic ,Petrol ,₹ 96.9 Lakh ,4909,2933, - ,2170, - , - ,1702, - ," Alpine White, Ametrine, Arctic Grey Brilliant Effect, Black, Black Sapphire, Carbon Black, Flamenco Red Brilliant Effect, Manhattan, Mineral White, Riverside Blue Metallic, Sophisto Grey Brilliant Effect ",5,2998, 335 BHP@5500 RPM,450 NM @1500 RPM,26,100 km/h
BMW X3 M,"1,69,807",99.9 Lakh,13 kmpl ,2993 cc ,Automatic ,Petrol ,₹ 99.9 Lakh ,4708,2864,550,1891, - ,65,1676,204, Alpine White ,5,2993, 473 BHP@6250 RPM,600 NM @2600 RPM,2,280 km/h
BMW 8 Series,"2,25,219",1.33 Crore,11 kmpl ,2998 cc ,Automatic ,Petrol ,₹ 1.33 - 1.58 Crore ,5082,3023,440,1932, - ,68,1407, - ," Alpine White, Black Sapphire, Blue Ridge Mountain, Bluestone, Mineral White, Sonic Speed Blue, Sunset Orange ",5,2998, 335 BHP@5000 RPM,500 NM @1600 RPM,15,258 km/h
